time,open,high,low,close,volume,ticker
2018-01-02,57015,57677,56868,57456,1435130,VIC
2018-01-03,58411,61130,57750,59146,5014340,VIC
2018-01-04,59881,61056,59146,59514,2937490,VIC
2018-01-05,59514,59514,58044,58779,2825160,VIC
2018-01-08,58779,60175,58118,58999,3978990,VIC
2018-01-09,59440,60616,58779,59220,3276860,VIC
2018-01-10,59514,60469,59220,59367,3525280,VIC
2018-01-11,59367,60395,58852,59514,3234530,VIC
2018-01-12,62746,63408,59734,62746,5641810,VIC
2018-01-15,63481,65245,63261,64069,3992270,VIC
2018-01-16,63187,64289,62452,63187,4033950,VIC
2018-01-17,61718,63775,60983,61718,3664360,VIC
2018-01-18,60983,62012,59146,62012,2516550,VIC
2018-01-19,62452,63334,61718,61718,4547470,VIC
2018-01-22,62085,62893,61718,62452,1971820,VIC
2018-01-25,62452,65759,62452,62526,6498690,VIC
2018-01-26,63187,63555,62379,62820,1879950,VIC
2018-01-29,63187,64142,62599,62820,1648430,VIC
2018-01-30,62820,63040,61350,62452,2528460,VIC
2018-01-31,62820,64951,62526,63187,5163910,VIC
2018-02-01,64289,64510,62452,63628,2444650,VIC
2018-02-02,63555,65024,63555,64069,4141270,VIC
2018-02-05,62746,63187,59587,59587,2587460,VIC
2018-02-06,55472,59587,55472,59587,6416850,VIC
2018-02-07,60248,60910,59514,59514,1569240,VIC
2018-02-08,58779,59514,58044,58044,1035980,VIC
2018-02-09,55840,57750,54738,57456,1512070,VIC
2018-02-12,58044,61424,58044,61424,1403590,VIC
2018-02-13,62452,63922,61718,63261,1361140,VIC
2018-02-21,64583,67596,64142,66126,3032580,VIC
2018-02-22,66126,67596,65465,66494,2059700,VIC
2018-02-23,66861,67596,66861,67302,1315690,VIC
2018-02-26,67596,70902,67596,69800,2663650,VIC
2018-02-27,70902,71196,67963,68698,2312070,VIC
2018-02-28,67816,69873,67816,69726,1652330,VIC
2018-03-01,69359,70388,68551,69065,1228940,VIC
2018-03-02,67596,70167,67596,69433,876310,VIC
2018-03-05,69800,73180,69065,69065,1957990,VIC
2018-03-06,70535,72371,69065,72371,1563590,VIC
2018-03-07,72371,73474,70902,72445,1554880,VIC
2018-03-08,72004,76706,71931,75825,2497640,VIC
2018-03-09,75825,77882,73474,76045,3193390,VIC
2018-03-12,75678,76486,73253,73474,4156360,VIC
2018-03-13,73474,75604,73400,75384,1364520,VIC
2018-03-14,75310,77074,75310,75310,2048400,VIC
2018-03-15,75604,75604,73106,73106,2784640,VIC
2018-03-16,73033,74208,73033,73253,3090070,VIC
2018-03-19,73621,77147,73621,76706,1201010,VIC
2018-03-20,75678,77515,75678,76560,1045660,VIC
2018-03-21,77074,79792,76780,79352,3520200,VIC
2018-03-22,80086,81335,79352,79352,2262170,VIC
2018-03-23,77588,81703,77515,80454,3455080,VIC
2018-03-26,80821,86038,79719,83613,4681960,VIC
2018-03-27,85964,86552,82952,83025,3149210,VIC
2018-03-28,83025,85229,82437,84127,1452270,VIC
2018-03-29,84127,84862,83393,84495,1580300,VIC
2018-03-30,84568,86111,83760,86111,1733950,VIC
2018-04-02,87213,91475,86699,90373,2458390,VIC
2018-04-03,89785,90373,88756,89858,2412640,VIC
2018-04-04,90373,94708,90373,93679,1939060,VIC
2018-04-05,96985,97720,95295,96251,3190050,VIC
2018-04-06,95516,97353,95295,97279,1954390,VIC
2018-04-09,99190,99557,97720,99116,3209490,VIC
2018-04-10,99190,100512,96251,96251,4492970,VIC
2018-04-11,96691,98087,91107,92577,3216110,VIC
2018-04-12,91107,93899,89197,93312,3592730,VIC
2018-04-13,94046,95957,93312,93752,2093210,VIC
2018-04-16,94046,94928,91475,94561,1686590,VIC
2018-04-17,95516,96985,93679,95516,2303090,VIC
2018-04-18,96251,96985,95442,95442,2306360,VIC
2018-04-19,94487,94781,88830,88830,5509300,VIC
2018-04-20,88830,91475,83686,90373,4165000,VIC
2018-04-23,91107,92430,90226,90520,4834080,VIC
2018-04-24,88168,93752,86846,93312,8719000,VIC
2018-04-26,93165,93312,90299,93312,6434440,VIC
2018-04-27,90152,92944,89638,92577,3015830,VIC
2018-05-02,92577,92577,88168,91842,5204200,VIC
2018-05-03,90373,92650,89638,90373,4728270,VIC
2018-05-04,89344,91916,88168,91475,3214170,VIC
2018-05-07,90740,91842,90740,91548,1059820,VIC
2018-05-08,91548,91769,90520,91034,1263540,VIC
2018-05-09,90079,90520,89491,90299,1685960,VIC
2018-05-10,90226,90226,88168,88536,1783310,VIC
2018-05-11,88242,91107,87434,91107,1349320,VIC
2018-05-14,91842,96985,91842,96985,2365670,VIC
2018-05-15,98381,99043,96985,96985,1713520,VIC
2018-05-16,96985,96985,94046,95516,879210,VIC
2018-05-17,95516,95516,90005,90373,1772650,VIC
2018-05-18,89638,91842,88536,90373,1523270,VIC
2018-05-21,90373,90373,84054,84054,2255860,VIC
2018-05-22,81409,83760,78176,78176,2590430,VIC
2018-05-23,74282,78102,72739,75678,2360420,VIC
2018-05-24,75678,77147,74355,76486,3032350,VIC
2018-05-25,76486,81262,73474,78617,2656380,VIC
2018-05-28,75531,81556,75310,81556,3154610,VIC
2018-05-29,78102,81923,77956,80821,1698700,VIC
2018-05-30,80894,83393,77809,81556,1827510,VIC
2018-05-31,82144,85964,80086,85229,5567040,VIC
2018-06-01,84789,88168,83760,87434,4227700,VIC
2018-06-04,87434,88242,87066,88168,901540,VIC
2018-06-05,88168,90005,87140,88977,996780,VIC
2018-06-06,88168,91401,86479,91181,2053160,VIC
2018-06-07,91769,92136,90520,91254,1475370,VIC
2018-06-08,90520,91695,89638,91254,902860,VIC
2018-06-11,91107,91916,90005,91328,1434380,VIC
2018-06-12,88168,91548,88168,91401,2086270,VIC
2018-06-13,89638,94046,89638,94046,1823230,VIC
2018-06-14,94634,94634,91842,92577,1578250,VIC
2018-06-15,92577,93165,90740,90740,4770820,VIC
2018-06-18,90740,92503,90005,90667,1411490,VIC
2018-06-19,89271,90667,85964,90373,2024310,VIC
2018-06-20,90373,91842,89638,91842,872130,VIC
2018-06-21,91842,92209,89785,91107,1700320,VIC
2018-06-22,91769,91769,90226,90226,461620,VIC
2018-06-25,91842,91842,90373,90887,562650,VIC
2018-06-26,88903,91034,88536,90813,762320,VIC
2018-06-27,90813,92430,90373,91989,1177710,VIC
2018-06-28,93322,98388,93322,95544,1193310,VIC
2018-06-29,93411,95811,93411,95544,2967850,VIC
2018-07-02,94211,96433,94211,95278,953200,VIC
2018-07-03,94211,95100,88612,88612,3208300,VIC
2018-07-04,88434,94389,86212,93322,1971010,VIC
2018-07-05,92433,95366,91545,94655,1420080,VIC
2018-07-06,92522,95011,90478,94389,1431620,VIC
2018-07-09,94211,95366,92878,93322,701990,VIC
2018-07-10,93322,94655,91100,91545,795030,VIC
2018-07-11,89767,92878,88878,92878,840120,VIC
2018-07-12,93233,93233,89767,91545,357710,VIC
2018-07-13,92611,92611,90656,91545,564040,VIC
